EmployeeID,Name,Department,Role,City,Gender,Salary,HireDate,PerformanceScore,ManagerID,Experience
1,Shreya,Sales,Sales Executive,Bangalore,F,55800,2017-09-30,4.9,4,3
2,Sameer,Sales,Sales Associate,Bangalore,M,116800,2021-08-15,3.3,7,1
3,Ananya,Sales,Sales Executive,Noida,M,77200,2021-04-17,3.9,4,12
4,Naman,Marketing,SEO Specialist,Noida,F,84100,2021-08-10,3.3,5,1
5,Parul,HR,HR Manager,Mumbai,F,81100,2018-02-12,3.0,3,4
6,Parul,IT,Software Engineer,Delhi,F,40800,2016-02-01,4.4,6,6
7,Tanvi,IT,Software Engineer,Bangalore,F,104900,2021-01-05,3.4,2,7
8,Sneha,Marketing,SEO Specialist,Bangalore,F,45300,2021-06-22,5.0,4,12
9,Rohit,Sales,Sales Associate,Noida,F,93700,2015-11-23,4.2,4,2
10,Shruti,IT,Data Analyst,Bangalore,F,111900,2016-10-28,3.9,6,6
11,Sarthak,IT,QA Engineer,Bangalore,M,65700,2021-10-31,3.8,3,9
12,Aditi,HR,HR Executive,Mumbai,F,58400,2018-01-10,3.6,9,4
13,Ira,IT,Software Engineer,Noida,M,99200,2024-01-11,3.9,6,7
14,Varun,Sales,Sales Executive,Pune,F,75800,2017-05-20,3.4,8,7
15,Naman,Finance,Accountant,Gurgaon,M,96900,2017-10-07,5.0,9,9
16,Nisha,Marketing,SEO Specialist,Pune,F,51400,2019-01-22,4.7,4,3
17,Rekha,Finance,Accountant,Delhi,M,81600,2016-09-18,3.3,3,11
18,Aditya,Marketing,Content Strategist,Mumbai,F,50600,2021-09-06,4.9,8,9
19,Nisha,Marketing,Content Strategist,Bangalore,M,114000,2022-08-24,3.8,9,5
20,Arnav,IT,Software Engineer,Gurgaon,F,63900,2016-10-09,3.2,8,1
21,Aditi,IT,QA Engineer,Noida,M,63500,2024-10-05,3.2,5,11
22,Rekha,Marketing,Content Strategist,Noida,F,57200,2023-07-21,3.1,3,9
23,Arnav,Marketing,Content Strategist,Pune,F,75900,2020-06-24,3.5,1,2
24,Kapil,IT,Software Engineer,Delhi,M,109500,2024-11-05,4.5,10,2
25,Sneha,Finance,Accountant,Pune,M,106600,2016-06-09,4.0,8,9
26,Isha,IT,QA Engineer,Pune,F,119000,2017-05-17,4.1,9,12
27,Vikas,HR,HR Manager,Gurgaon,F,49700,2022-07-14,4.9,6,8
28,Abhishek,Finance,Accountant,Noida,M,112400,2015-09-20,3.9,6,1
29,Rohan,Marketing,Content Strategist,Pune,M,77100,2015-01-30,4.8,2,12
30,Shreya,Sales,Sales Executive,Delhi,M,72600,2024-08-22,4.8,6,2
31,Rekha,HR,Recruiter,Bangalore,F,80400,2017-05-27,3.4,9,3
32,Aditi,Marketing,Marketing Manager,Mumbai,M,41000,2023-10-19,4.9,8,7
33,Tanya,Sales,Sales Executive,Bangalore,F,63200,2018-12-22,4.5,7,7
34,Aakash,Sales,Sales Associate,Bangalore,M,49300,2015-09-06,4.2,7,12
35,Aryan,Sales,Sales Executive,Noida,M,103700,2021-01-05,3.6,8,3
36,Aditya,HR,Recruiter,Mumbai,M,48600,2024-10-21,3.6,2,8
37,Nikhil,Sales,Sales Executive,Bangalore,M,78000,2016-01-18,4.6,4,3
38,Simran,Finance,Financial Analyst,Noida,F,89000,2015-08-29,5.0,3,7
39,Yash,Finance,Financial Analyst,Mumbai,F,102600,2019-09-29,3.4,9,11
40,Sonia,Finance,Accountant,Noida,F,88200,2017-06-10,4.6,1,10
41,Sameer,Marketing,Content Strategist,Bangalore,F,79500,2015-08-23,4.4,1,10
42,Kunal,Marketing,Marketing Manager,Noida,M,101900,2020-09-11,4.5,2,3
43,Rohit,Marketing,Content Strategist,Bangalore,M,78700,2019-07-12,4.9,2,10
44,Vivek,Marketing,Marketing Manager,Delhi,M,104500,2019-09-14,3.2,10,10
45,Abhishek,IT,Data Analyst,Noida,F,62700,2017-09-04,4.7,5,7
46,Amit,IT,Data Analyst,Gurgaon,M,118600,2015-02-08,3.7,8,10
47,Payal,Sales,Sales Executive,Pune,M,75200,2020-09-03,4.3,5,3
48,Ritika,Sales,Sales Executive,Gurgaon,F,103300,2016-10-08,3.5,8,9
49,Sonia,IT,QA Engineer,Bangalore,M,110600,2022-06-28,3.8,9,5
50,Gaurav,Sales,Sales Executive,Gurgaon,M,48100,2024-12-23,4.4,2,12
51,Nikhil,HR,Recruiter,Gurgaon,M,93000,2023-01-18,4.4,6,4
52,Ira,IT,QA Engineer,Mumbai,F,46900,2024-06-27,3.5,1,2
53,Shreya,Finance,Financial Analyst,Delhi,M,40200,2018-09-28,3.9,3,11
54,Nisha,HR,HR Manager,Mumbai,F,63400,2021-04-16,3.2,1,2
55,Rohit,HR,HR Manager,Delhi,F,90000,2021-07-13,4.3,9,3
56,Aditya,HR,HR Executive,Gurgaon,F,94300,2023-12-05,4.0,1,6
57,Sarthak,HR,HR Manager,Delhi,F,58100,2023-10-01,3.3,9,7
58,Devesh,HR,HR Executive,Noida,M,111900,2024-11-19,3.8,7,1
59,Manav,IT,Data Analyst,Bangalore,M,73800,2017-12-28,4.9,3,12
60,Priya,Finance,Accountant,Mumbai,M,115400,2017-03-28,4.4,8,6
61,Harsh,HR,HR Executive,Delhi,M,62300,2019-06-21,4.9,6,5
62,Rohit,IT,Data Analyst,Bangalore,F,104000,2022-08-15,3.6,9,6
63,Ananya,Sales,Regional Manager,Noida,F,42700,2015-06-06,3.9,2,10
64,Aditya,IT,QA Engineer,Gurgaon,F,109200,2021-10-19,3.8,9,2
65,Shruti,Marketing,Content Strategist,Gurgaon,M,82900,2022-12-13,4.1,7,1
66,Abhishek,Marketing,Marketing Manager,Bangalore,M,66100,2019-01-31,3.2,7,2
67,Gaurav,IT,QA Engineer,Gurgaon,M,62000,2023-01-27,3.6,5,9
68,Harsh,Finance,Financial Analyst,Mumbai,F,63800,2021-03-20,3.5,3,4
69,Simran,Finance,Finance Manager,Bangalore,M,106800,2021-11-26,3.9,10,5
70,Raj,Marketing,Content Strategist,Gurgaon,F,95000,2017-05-10,3.6,7,10
71,Tanvi,IT,Data Analyst,Mumbai,F,98100,2022-07-30,4.0,4,9
72,Kunal,HR,HR Manager,Delhi,F,43700,2020-10-12,4.4,10,6
73,Sneha,HR,HR Manager,Gurgaon,M,53500,2024-01-17,3.7,4,3
74,Ananya,Sales,Sales Executive,Mumbai,M,74800,2020-02-09,3.3,7,11
75,Payal,HR,HR Manager,Bangalore,F,101100,2020-07-17,4.0,7,4
76,Karan,Sales,Sales Executive,Mumbai,M,108800,2016-12-21,3.8,9,8
77,Neha,Marketing,Content Strategist,Delhi,F,91000,2016-06-30,4.9,8,11
78,Abhishek,Marketing,Marketing Manager,Gurgaon,F,102000,2021-11-14,3.5,9,7
79,Nikhil,Finance,Accountant,Bangalore,F,105300,2020-01-18,4.0,5,4
80,Shreya,IT,QA Engineer,Mumbai,M,63700,2018-01-29,3.3,8,2
81,Sonia,IT,Software Engineer,Gurgaon,F,66700,2018-08-02,5.0,9,2
82,Amit,HR,HR Executive,Mumbai,M,40900,2022-12-03,3.6,4,2
83,Simran,Finance,Financial Analyst,Pune,F,47400,2019-08-31,4.3,1,4
84,Simran,Finance,Finance Manager,Bangalore,M,86700,2024-08-10,3.3,10,7
85,Kunal,Sales,Regional Manager,Gurgaon,F,90900,2024-07-27,3.9,7,9
86,Sameer,Marketing,Marketing Manager,Noida,F,66300,2017-06-17,3.5,5,7
87,Pooja,Sales,Regional Manager,Gurgaon,F,110500,2023-02-14,3.2,3,8
88,Amit,Marketing,Marketing Manager,Delhi,F,52700,2021-08-21,4.5,10,11
89,Ananya,Sales,Sales Associate,Mumbai,M,107900,2024-09-20,3.9,8,3
90,Neha,IT,Data Analyst,Gurgaon,M,105700,2020-02-06,3.8,6,6
91,Parul,Finance,Financial Analyst,Mumbai,F,62700,2024-05-12,4.7,2,8
92,Ananya,Marketing,Content Strategist,Gurgaon,M,82100,2022-04-16,4.0,2,11
93,Arjun,Sales,Sales Executive,Noida,M,91700,2021-12-19,3.1,3,4
94,Amit,Finance,Finance Manager,Delhi,M,89800,2020-03-19,3.7,5,6
95,Isha,Marketing,Marketing Manager,Bangalore,M,112100,2023-09-21,4.4,3,5
96,Priya,Marketing,Content Strategist,Gurgaon,F,51400,2019-06-13,4.3,4,2
97,Rohan,HR,HR Executive,Bangalore,F,48700,2024-07-14,4.4,10,2
98,Payal,Sales,Regional Manager,Pune,F,111300,2022-06-02,4.0,6,2
99,Rekha,IT,Software Engineer,Mumbai,F,51100,2016-03-08,3.3,7,6
100,Shreya,Finance,Finance Manager,Noida,F,48200,2016-12-22,4.5,9,11
